Epoch,Epoch_Time_s,Forward_Backward_Time_s,Standard_Accuracy,Balanced_Accuracy
1,32.474079608917236,11.968589067459106,0.45111111111111113,0.41999999999999993
2,17.47133779525757,5.1368937492370605,0.42,0.39375000000000004
3,17.19221782684326,3.467263698577881,0.4666666666666667,0.4287500000000001
4,17.828604698181152,2.9118809700012207,0.4577777777777778,0.41500000000000004
5,17.378488779067993,2.3675427436828613,0.4311111111111111,0.4
6,17.440146684646606,2.2558257579803467,0.46444444444444444,0.41000000000000003
7,17.662049293518066,2.1409153938293457,0.4488888888888889,0.38375
8,18.461202383041382,2.184760808944702,0.47555555555555556,0.37249999999999994
9,18.199162244796753,2.214388370513916,0.4577777777777778,0.40625
10,17.758365154266357,2.17092227935791,0.46,0.39
